action_distribution,action_repetition_rate,agent,coop_rate,defection_rate,delegate_rate,delta_expected_payoff,draw_rate,expected_payoff,game,invalid_response_rate,loss_rate,mechanism,num_moves,payoff_max,payoff_mean_move,payoff_median,payoff_min,payoff_std,run_dir,win_rate
"{""D"": 1.0}",1.0,openai/gpt-oss-20b(CoT),0.0,1.0,1.0,0.0,1.0,0.4375,PrisonersDilemma,0.0,0.0,Mediation,10,1.0,1.0,1.0,1.0,0.0,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0.0
"{""C"": 0.2, ""D"": 0.8}",0.6666666666666666,deepseek/deepseek-chat-v3.1(CoT),0.2,0.8,1.0,0.125,1.0,0.5625,PrisonersDilemma,0.0,0.0,Mediation,10,2.0,1.2,1.0,1.0,0.4,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0.0
"{""C"": 0.2, ""D"": 0.8}",0.6666666666666666,qwen/qwen3-next-80b-a3b-instruct(CoT),0.2,0.8,0.5,0.125,1.0,0.5625,PrisonersDilemma,0.5,0.0,Mediation,10,2.0,1.2,1.0,1.0,0.4,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0.0
"{""C"": 0.2, ""D"": 0.8}",0.6666666666666666,openai/gpt-5-nano(CoT),0.2,0.8,1.0,0.0625,1.0,0.5,PrisonersDilemma,0.0,0.0,Mediation,10,2.0,1.2,1.0,1.0,0.4,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0.0
"{""C"": 0.2, ""D"": 0.8}",0.75,openai/gpt-oss-20b(CoT),0.2,0.8,0.0,0.3367031249999999,0.13333333333333333,0.7742031249999999,PrisonersDilemma,0.0,0.4,Disarmament,5,3.0,1.6,1.0,1.0,0.8,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0.4666666666666667
"{""C"": 1.0}",1.0,deepseek/deepseek-chat-v3.1(CoT),1.0,0.0,0.0,0.21421875,0.5333333333333333,0.65171875,PrisonersDilemma,0.0,0.4666666666666667,Disarmament,5,2.0,1.6,2.0,0.0,0.8,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0.0
"{""D"": 0.4, ""C"": 0.6}",0.75,qwen/qwen3-next-80b-a3b-instruct(CoT),0.6,0.4,0.0,0.09812500000000002,0.2,0.535625,PrisonersDilemma,0.2,0.5333333333333333,Disarmament,5,2.0,1.2,1.0,0.0,0.7483314773547883,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0.26666666666666666
"{""D"": 0.8, ""C"": 0.2}",0.75,openai/gpt-5-nano(CoT),0.2,0.8,0.0,0.22478124999999993,0.13333333333333333,0.6622812499999999,PrisonersDilemma,0.0,0.4666666666666667,Disarmament,5,3.0,1.6,1.0,1.0,0.8,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0.4
"{""D"": 1.0}",1.0,openai/gpt-oss-20b(CoT),0.0,1.0,0.0,-0.013786705837725788,1.0,0.4237132941622742,PrisonersDilemma,0.0,0.0,ReputationPrisonersDilemma,50,1.0,1.0,1.0,1.0,0.0,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0.0
"{""D"": 1.0}",1.0,deepseek/deepseek-chat-v3.1(CoT),0.0,1.0,0.0,-0.013786705837725788,1.0,0.4237132941622742,PrisonersDilemma,0.0,0.0,ReputationPrisonersDilemma,50,1.0,1.0,1.0,1.0,0.0,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0.0
"{""D"": 1.0}",1.0,qwen/qwen3-next-80b-a3b-instruct(CoT),0.0,1.0,0.0,-0.013786705837725788,1.0,0.4237132941622742,PrisonersDilemma,0.16,0.0,ReputationPrisonersDilemma,50,1.0,1.0,1.0,1.0,0.0,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0.0
"{""D"": 1.0}",1.0,openai/gpt-5-nano(CoT),0.0,1.0,0.0,-0.013786705837725788,1.0,0.4237132941622742,PrisonersDilemma,0.0,0.0,ReputationPrisonersDilemma,50,1.0,1.0,1.0,1.0,0.0,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0.0
"{""D"": 1.0}",1.0,openai/gpt-oss-20b(CoT),0.0,1.0,0.0,-0.13484764702694696,1.0,0.30265235297305304,PrisonersDilemma,0.0,0.0,Repetition,40,1.0,1.0,1.0,1.0,0.0,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0.0
"{""D"": 0.78, ""C"": 0.22}",0.9183673469387755,deepseek/deepseek-chat-v3.1(CoT),0.22,0.78,0.0,-0.002229902492827951,0.9666666666666667,0.43527009750717205,PrisonersDilemma,0.0,0.03333333333333333,Repetition,50,2.0,1.18,1.0,0.0,0.43312815655415426,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0.0
"{""D"": 0.925, ""C"": 0.075}",0.8974358974358975,qwen/qwen3-next-80b-a3b-instruct(CoT),0.075,0.925,0.0,-0.14529638098102982,0.95,0.2922036190189702,PrisonersDilemma,0.0,0.05,Repetition,40,2.0,1.025,1.0,0.0,0.27271780286589287,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0.0
"{""D"": 1.0}",1.0,openai/gpt-5-nano(CoT),0.0,1.0,0.0,0.03450067429289816,0.9333333333333333,0.47200067429289816,PrisonersDilemma,0.0,0.0,Repetition,50,3.0,1.08,1.0,1.0,0.3919183588453085,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0.06666666666666667
{},nan,openai/gpt-oss-20b(CoT),0.0,nan,nan,0.0,nan,0.4375,PrisonersDilemma,nan,nan,NoMechanism,0,nan,nan,nan,nan,0.0,outputs/2025/09/16/17:43_nomechanism__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,nan
{},nan,deepseek/deepseek-chat-v3.1(CoT),0.0,nan,nan,0.0,nan,0.4375,PrisonersDilemma,nan,nan,NoMechanism,0,nan,nan,nan,nan,0.0,outputs/2025/09/16/17:43_nomechanism__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,nan
{},nan,qwen/qwen3-next-80b-a3b-instruct(CoT),0.0,nan,nan,0.0,nan,0.4375,PrisonersDilemma,nan,nan,NoMechanism,0,nan,nan,nan,nan,0.0,outputs/2025/09/16/17:43_nomechanism__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,nan
{},nan,openai/gpt-5-nano(CoT),0.0,nan,nan,0.0,nan,0.4375,PrisonersDilemma,nan,nan,NoMechanism,0,nan,nan,nan,nan,0.0,outputs/2025/09/16/17:43_nomechanism__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,nan
